chembl_id,primary_drug,tox_herg_ic50_uM,tox_herg_risk,tox_cyp3a4_inhib,tox_cyp2d6_inhib,tox_cyp1a2_inhib,tox_cyp_risk,tox_ames,tox_ames_risk,tox_dili_risk,tox_bbb_perm,black_box_warning,hepatotoxicity,nephrotoxicity,cardiotoxicity,bioactivity_count,tox_data_sources,data_source,created_at,last_updated
CHEMBL284191,ChEMBL_CHEMBL284191,,medium,,,,medium,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.990672,2025-09-05 06:28:14.990673
CHEMBL30649,ChEMBL_CHEMBL30649,,high,,,,high,,medium,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.990699,2025-09-05 06:28:14.990699
CHEMBL282123,ChEMBL_CHEMBL282123,,high,,,,medium,,low,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.990725,2025-09-05 06:28:14.990725
CHEMBL30327,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN",,high,,,,medium,,medium,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.990751,2025-09-05 06:28:14.990751
CHEMBL285359,ChEMBL_CHEMBL285359,,high,,,,medium,,medium,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.990778,2025-09-05 06:28:14.990778
CHEMBL31110,ChEMBL_CHEMBL31110,,high,,,,medium,,low,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.990803,2025-09-05 06:28:14.990803
CHEMBL30283,ChEMBL_CHEMBL30283,,high,,,,high,,low,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.990829,2025-09-05 06:28:14.990829
CHEMBL282952,ChEMBL_CHEMBL282952,,high,,,,high,,low,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.990856,2025-09-05 06:28:14.990856
CHEMBL29828,ChEMBL_CHEMBL29828,,high,,,,high,,low,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.990883,2025-09-05 06:28:14.990883
CHEMBL30831,ChEMBL_CHEMBL30831,,high,,,,high,,high,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.990919,2025-09-05 06:28:14.990919
